movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,poster_url
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,184925485,5228953251,https://image.tmdb.org/t/p/w200/3VAHfuNb6Z7UiW12iYKANSPBl8m.jpg
Pinocchio,1940-02-09,Adventure,G,84300000,2188229052,https://image.tmdb.org/t/p/w200/aN2Pa9FnbJA2g4mnHPCWajwtdQ4.jpg
Fantasia,1940-11-13,Musical,G,83320000,2187090808,https://image.tmdb.org/t/p/w200/5m9njnidjR0syG2gpVPVgcEMB2X.jpg
Song of the South,1946-11-12,Adventure,G,65000000,1078510579,https://image.tmdb.org/t/p/w200/lFlWpfcw8TCmZ88jw6e943vEbtu.jpg
Cinderella,1950-02-15,Drama,G,85000000,920608730,https://image.tmdb.org/t/p/w200/j91LJmcWo16CArFOoapsz84bwxb.jpg
"20,000 Leagues Under the Sea",1954-12-23,Adventure,,28200000,528279994,https://image.tmdb.org/t/p/w200/edY5eDCC08OUKjS0k7zWUxYM9BB.jpg
Lady and the Tramp,1955-06-22,Drama,G,93600000,1236035515,https://image.tmdb.org/t/p/w200/340NcWz9SQXWQyf4oicMxjbrLOb.jpg
Sleeping Beauty,1959-01-29,Drama,,9464608,21505832,https://image.tmdb.org/t/p/w200/n3pxoMDDxp10c1smgbDzW4bwlzq.jpg
101 Dalmatians,1961-01-25,Comedy,G,153000000,1362870985,https://image.tmdb.org/t/p/w200/8o2ADoAyG796UwTjwBFjPyBz0yG.jpg
The Absent Minded Professor,1961-03-16,Comedy,,25381407,310094574,https://image.tmdb.org/t/p/w200/gCnuDDqoyaBdeeItQ4BjKtYpzF6.jpg
Babes in Toyland,1961-12-14,Musical,G,10218316,124841160,https://image.tmdb.org/t/p/w200/pPNVXVQTCgdUiIiyxxYlTTqkgiZ.jpg
Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769,109581646,https://image.tmdb.org/t/p/w200/tIORpNBODVvkgftEkv4xt0kWR3s.jpg
The Sword in the Stone,1963-12-25,Adventure,,22182353,153870834,https://image.tmdb.org/t/p/w200/7lyeeuhGAJSNXYEW34S8mJ1bwI8.jpg
